start,end,time,year
55435,33430,1951-03-01,1951
55435,56284,1953-03-01,1953
41751,41454,1951-03-01,1951
41751,41657,1952-03-01,1952
41751,110281,1952-03-01,1952
33474,41751,1951-03-01,1951
65090,33474,1951-03-01,1951
65090,41454,1951-03-01,1951
65090,41751,1952-03-01,1952
23862,41751,1951-03-01,1951
23862,33474,1951-03-01,1951
49323,23862,1951-03-01,1951
39346,41751,1951-03-01,1951
39346,23862,1951-03-01,1951
55964,33474,1951-03-01,1951
55964,33222,1953-03-01,1953
11703,55964,1951-03-01,1951
56852,41454,1951-03-01,1951
56852,65090,1951-03-01,1951
65066,56852,1951-03-01,1951
105983,90023,1951-03-01,1951
105983,12133,1952-03-01,1952
105983,12976,1953-03-01,1953
105983,20655,1953-03-01,1953
71909,105983,1951-03-01,1951
90023,41454,1951-03-01,1951
90023,65090,1951-03-01,1951
90023,103199,1952-03-01,1952
90023,11286,1952-03-01,1952
32596,43481,1951-03-01,1951
32596,35316,1952-03-01,1952
32596,58387,1952-03-01,1952
32596,45282,1953-03-01,1953
11286,32596,1951-03-01,1951
11286,81234,1951-03-01,1951
89870,43481,1951-03-01,1951
89870,32596,1951-03-01,1951
89870,90023,1952-03-01,1952
89870,27439,1955-03-01,1955
89870,33495,1955-03-01,1955
53259,89870,1951-03-01,1951
76084,11286,1951-03-01,1951
76084,39662,1952-03-01,1952
13152,11286,1951-03-01,1951
33222,13152,1951-03-01,1951
89392,81234,1951-03-01,1951
89392,88073,1951-03-01,1951
78148,43481,1951-03-01,1951
78148,32596,1951-03-01,1951
78148,11286,1952-03-01,1952
88304,78148,1951-03-01,1951
88073,81234,1951-03-01,1951
88073,11286,1951-03-01,1951
46985,78148,1951-03-01,1951
13693,41850,1952-03-01,1952
44443,13693,1951-03-01,1951
11911,44443,1951-03-01,1951
11911,45160,1951-03-01,1951
41850,45160,1951-03-01,1951
41850,110732,1951-03-01,1951
41850,44443,1952-03-01,1952
11818,11911,1951-03-01,1951
57662,11818,1951-03-01,1951
33163,11911,1951-03-01,1951
888765,13693,1951-03-01,1951
888765,44443,1951-03-01,1951
32584,888765,1951-03-01,1951
8500,11986,1951-03-01,1951
110664,11986,1951-03-01,1951
110664,44443,1952-03-01,1952
110664,13693,1952-03-01,1952
69906,110664,1951-03-01,1951
110732,45160,1951-03-01,1951
110732,11911,1951-03-01,1951
110734,45320,1952-03-01,1952
91206,45320,1952-03-01,1952
91206,45320,1953-03-01,1953
91206,35354,1955-03-01,1955
53388,12773,1952-03-01,1952
54755,91206,1952-03-01,1952
103105,45320,1952-03-01,1952
103105,12773,1952-03-01,1952
103105,33550,1953-03-01,1953
103105,86845,1953-03-01,1953
103105,2763,1954-03-01,1954
71889,11552,1952-03-01,1952
13084,11552,1952-03-01,1952
13084,71889,1952-03-01,1952
13084,33550,1953-03-01,1953
13084,2638,1953-03-01,1953
13084,59696,1954-03-01,1954
13084,53397,1956-03-01,1956
8432,13084,1952-03-01,1952
8432,2638,1953-03-01,1953
86845,44412,1952-03-01,1952
86845,57648,1952-03-01,1952
86845,33550,1953-03-01,1953
12980,86845,1952-03-01,1952
12980,2638,1953-03-01,1953
12980,75545,1955-03-01,1955
69239,44412,1952-03-01,1952
69239,71889,1952-03-01,1952
55971,69239,1952-03-01,1952
55971,32554,1953-03-01,1953
55971,103105,1953-03-01,1953
55971,32497,1954-03-01,1954
41648,13084,1952-03-01,1952
87229,86845,1952-03-01,1952
87229,86845,1953-03-01,1953
33550,41477,1952-03-01,1952
33550,32554,1953-03-01,1953
59696,41477,1952-03-01,1952
59696,85716,1953-03-01,1953
59696,91144,1954-03-01,1954
12807,33550,1952-03-01,1952
12807,88308,1952-03-01,1952
12807,85716,1953-03-01,1953
12807,35209,1953-03-01,1953
12807,35209,1954-03-01,1954
91183,12807,1952-03-01,1952
91183,85716,1953-03-01,1953
91183,54582,1953-03-01,1953
78731,59696,1952-03-01,1952
71232,41804,1952-03-01,1952
71232,44355,1953-03-01,1953
71232,13456,1955-03-01,1955
70394,33365,1952-03-01,1952
70394,53466,1956-03-01,1956
85716,41804,1952-03-01,1952
92746,85716,1952-03-01,1952
92746,150257,1953-03-01,1953
71974,41477,1952-03-01,1952
44355,13143,1952-03-01,1952
44355,59696,1953-03-01,1953
44355,54582,1953-03-01,1953
85713,44355,1952-03-01,1952
85713,41800,1952-03-01,1952
85713,70058,1953-03-01,1953
95964,70134,1952-03-01,1952
95964,42067,1953-03-01,1953
95964,42067,1954-03-01,1954
87525,85713,1952-03-01,1952
88419,70058,1952-03-01,1952
95764,41800,1952-03-01,1952
95764,85713,1952-03-01,1952
32501,13143,1952-03-01,1952
32501,71397,1956-03-01,1956
93003,44355,1952-03-01,1952
93003,33559,1953-03-01,1953
93003,57941,1957-03-01,1957
93003,105776,1957-03-01,1957
110257,93003,1952-03-01,1952
110257,39513,1953-03-01,1953
110257,70134,1953-03-01,1953
110257,35459,1954-03-01,1954
110257,6114,1954-03-01,1954
110257,6114,1955-03-01,1955
110257,111022,1955-03-01,1955
31084,44355,1952-03-01,1952
31084,70134,1952-03-01,1952
31084,105983,1953-03-01,1953
31084,33559,1954-03-01,1954
31084,71397,1954-03-01,1954
31084,12133,1955-03-01,1955
31084,35230,1955-03-01,1955
54529,51122,1952-03-01,1952
81699,51122,1952-03-01,1952
81699,54411,1953-03-01,1953
150294,51122,1952-03-01,1952
150294,20655,1952-03-01,1952
13075,11702,1952-03-01,1952
105838,17895,1952-03-01,1952
20655,54529,1952-03-01,1952
20655,81699,1952-03-01,1952
20655,33260,1953-03-01,1953
20655,39513,1953-03-01,1953
20655,33241,1954-03-01,1954
54411,20655,1952-03-01,1952
54411,54529,1953-03-01,1953
54411,35609,1953-03-01,1953
54411,44246,1956-03-01,1956
54411,39895,1956-03-01,1956
